id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-20,CLI001,debito,250.75,Restaurante,alimentacao
4,2026-01-22,CLI004,credito,1200.00,Transferência recebida,transferencia
5,2026-01-28,CLI003,debito,99.90,Streaming,assinatura
6,2026-02-03,CLI002,debito,200.00,Posto de combustível,transporte
7,2026-02-10,CLI001,credito,4200.00,Salário fevereiro,salario
8,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
9,2026-02-18,CLI005,debito,320.00,Conta de luz,conta
10,2026-02-25,CLI002,debito,450.00,Supermercado,compra
11,2026-03-01,CLI001,credito,3500.00,Salário março,salario
12,2026-03-05,CLI006,debito,99.00,Academia,saude
13,2026-03-10,CLI003,debito,99.90,Streaming,assinatura
14,2026-03-15,CLI007,credito,20000.00,Transferência suspeita 2,transferencia
15,2026-03-18,CLI002,debito,120.00,Restaurante,alimentacao
16,2026-03-20,CLI004,credito,800.00,Reembolso,outras
17,2026-03-22,CLI005,debito,60.00,Estacionamento,transporte
18,2026-03-25,CLI008,debito,0,Valor zero inválido,erro
19,2026-03-27,,debito,150.00,Sem cliente,erro
20,2026-02-30,CLI009,credito,500.00,Data inválida,erro
21,2026-01-18,CLI010,transfer,300.00,Tipo inválido,erro
22,2026-03-30,CLI011,debito,-50.00,Valor negativo,erro
